NR;NR_X;TIME;SEX;AgeGroup;COUNTRY_HDI
1;;2024;T;TOTAL;MG
1;;2024;T;TOTAL;MZ
1;;2024;T;TOTAL;SL
1;;2024;T;TOTAL;TG
1;;2024;T;Y_GE65;CD
1;;2024;T;Y_GE65;PK
1;;2024;T;Y_GE65;SD
1;;2024;T;Y0-14;BI
1;;2024;T;Y0-14;TZ
1;;2024;T;Y15-64;BF
1;;2024;T;Y15-64;LR
1;;2024;T;Y15-64;MG
1;;2024;T;Y15-64;MZ
1;;2024;T;Y15-64;SL
1;;2024;T;Y15-64;TG
2;;2024;T;Y15-64;RW
2;;2024;T;Y15-64;DJ
2;;2024;T;Y15-64;BI
2;;2024;T;Y0-14;NG
2;;2024;T;TOTAL;RW
2;;2024;T;TOTAL;DJ
2;;2024;M;Y15-64;DJ
2;;2024;M;Y15-64;BI
2;;2024;M;TOTAL;DJ
2;;2024;F;Y15-64;YE
2;;2024;F;Y15-64;SN
2;;2024;F;Y15-64;SO
2;;2024;F;Y15-64;ER
2;;2024;F;TOTAL;YE
2;;2024;F;Y_GE65;AF
2;;2024;F;Y_GE65;TOTAL_HDI_L
2;;2024;F;TOTAL;SN
2;;2024;F;TOTAL;SO
2;;2024;F;TOTAL;ER
2;;2023;T;Y_GE65;AF
2;;2023;T;Y15-64;RW
2;;2023;T;Y15-64;DJ
2;;2023;T;Y15-64;ET
2;;2023;T;TOTAL;ET
2;;2023;T;TOTAL;RW
2;;2023;T;TOTAL;DJ
2;;2023;M;Y15-64;RW
2;;2023;M;Y15-64;DJ
2;;2023;M;TOTAL;RW
2;;2023;M;TOTAL;DJ
2;;2023;F;Y15-64;CD
2;;2023;F;Y15-64;ER
2;;2023;F;TOTAL;CD
2;;2023;F;TOTAL;ER
2;;2022;T;Y15-64;RW
2;;2022;T;Y15-64;ML
2;;2022;T;Y15-64;GM
2;;2022;T;Y15-64;DJ
2;;2022;T;TOTAL;RW
2;;2022;T;TOTAL;ML
2;;2022;T;TOTAL;GM
2;;2022;T;TOTAL;DJ
2;;2022;M;Y15-64;RW
2;;2022;M;Y15-64;SN
2;;2022;M;Y15-64;ML
2;;2022;M;Y15-64;DJ
2;;2022;M;Y15-64;GM
2;;2022;M;TOTAL;SN
2;;2022;M;TOTAL;RW
2;;2022;F;Y15-64;ER
2;;2022;M;TOTAL;ML
2;;2022;M;TOTAL;GM
2;;2022;M;TOTAL;DJ
2;;2022;F;Y0-14;PK
2;;2022;F;TOTAL;ER
2;;2021;T;Y15-64;RW
2;;2021;T;Y15-64;DJ
2;;2021;T;Y15-64;ET
2;;2021;T;TOTAL;RW
2;;2021;T;TOTAL;DJ
2;;2021;T;TOTAL;ET
2;;2021;M;Y15-64;DJ
2;;2021;F;Y15-64;ER
2;;2021;M;TOTAL;DJ
2;;2021;F;TOTAL;ER
2;;2021;F;Y0-14;PK
3;;2021;M;TOTAL;BJ
3;;2021;M;Y15-64;BJ
3;;2021;M;Y15-64;CD
3;;2021;M;Y_GE65;TOTAL_HDI_L
3;;2021;M;TOTAL;YE
3;;2021;M;TOTAL;SO
3;;2021;M;TOTAL;GM
3;;2021;T;TOTAL;GM
3;;2021;T;TOTAL;BJ
3;;2021;M;Y15-64;SO
3;;2021;M;Y15-64;YE
3;;2021;M;Y15-64;SD
3;;2021;M;Y15-64;GM
3;;2021;T;Y15-64;GM
3;;2021;T;Y15-64;BJ
3;;2021;T;Y15-64;CD
3;;2021;T;Y_GE65;TOTAL_HDI_L
3;;2021;T;Y15-64;YE
3;;2021;T;TOTAL;YE
3;;2022;M;TOTAL;SL
3;;2022;M;TOTAL;YE
3;;2022;M;Y15-64;SD
3;;2022;M;Y15-64;SL
3;;2022;M;Y15-64;TZ
3;;2022;M;Y15-64;YE
3;;2022;T;TOTAL;SL
3;;2022;T;TOTAL;SN
3;;2022;T;Y15-64;SL
3;;2022;T;Y15-64;SN
3;;2023;M;TOTAL;GM
3;;2023;M;TOTAL;SL
3;;2023;M;Y15-64;GM
3;;2023;M;Y15-64;SD
3;;2023;M;Y15-64;SL
3;;2023;T;TOTAL;GM
3;;2023;T;TOTAL;SL
3;;2023;T;Y15-64;GM
3;;2023;T;Y15-64;SL
3;;2024;F;Y0-14;PK
3;;2024;M;TOTAL;BI
3;;2024;M;TOTAL;ET
3;;2024;M;TOTAL;ML
3;;2024;M;Y_GE65;AF
3;;2024;M;Y15-64;ML
3;;2024;M;Y15-64;ET
3;;2024;T;TOTAL;ET
3;;2024;T;TOTAL;ML
3;;2024;T;TOTAL;BI
3;;2024;T;Y15-64;ET
3;;2024;T;Y15-64;ML
4;;2024;T;Y15-64;BJ
4;;2024;T;TOTAL;BJ
4;;2024;M;Y15-64;TZ
4;;2024;M;Y15-64;SD
4;;2024;M;Y15-64;ER
4;;2024;M;Y15-64;BJ
4;;2024;M;TOTAL;ER
4;;2024;M;TOTAL;BJ
4;;2023;T;Y15-64;SD
4;;2023;T;Y15-64;BJ
4;;2023;M;Y15-64;TZ
4;;2023;M;Y15-64;YE
4;;2023;T;TOTAL;BJ
4;;2023;M;TOTAL;YE
4;;2023;M;Y15-64;SO
4;;2023;M;Y15-64;BJ
4;;2023;M;Y15-64;CD
4;;2023;M;TOTAL;SD
4;;2023;M;TOTAL;SO
4;;2023;M;Y_GE65;TOTAL_HDI_L
4;;2023;M;TOTAL;BJ
4;;2022;T;Y15-64;SD
4;;2022;T;Y15-64;TZ
4;;2022;T;Y15-64;YE
4;;2022;T;Y15-64;BJ
4;;2022;T;Y15-64;CD
4;;2022;T;TOTAL;YE
4;;2022;T;Y_GE65;TOTAL_HDI_L
4;;2022;M;Y15-64;SO
4;;2022;T;TOTAL;BJ
4;;2022;M;TOTAL;TZ
4;;2022;M;TOTAL;SO
4;;2022;M;Y_GE65;TOTAL_HDI_L
4;;2022;M;TOTAL;SD
4;;2022;M;Y15-64;BJ
4;;2022;M;Y15-64;CD
4;;2022;M;TOTAL;BJ
4;;2021;T;Y15-64;SO
4;;2021;T;Y15-64;TZ
4;;2021;T;Y15-64;SD
4;;2021;M;Y15-64;TZ
4;;2021;T;TOTAL;CD
4;;2021;T;TOTAL;SO
4;;2021;M;TOTAL;SD
4;;2021;M;TOTAL;CD
5;;2021;F;Y15-64;NG
5;;2021;F;TOTAL;NG
5;;2021;M;TOTAL;SN
5;;2021;M;TOTAL;TZ
5;;2021;T;TOTAL;TZ
5;;2021;T;TOTAL;SD
5;;2021;M;Y15-64;SN
5;;2022;M;TOTAL;CD
5;;2022;F;Y15-64;NG
5;;2022;F;TOTAL;NG
5;;2022;M;Y15-64;CI
5;;2022;M;Y0-14;AF
5;;2022;T;TOTAL;CD
5;;2022;T;TOTAL;TZ
5;;2022;T;TOTAL;SD
5;;2022;T;TOTAL;SO
5;;2022;T;Y15-64;CI
5;;2022;T;Y15-64;SO
5;;2023;M;TOTAL;CD
5;;2023;M;TOTAL;ER
5;;2023;M;TOTAL;TZ
5;;2023;M;Y15-64;ER
5;;2023;T;TOTAL;SO
5;;2023;T;TOTAL;SD
5;;2023;T;Y_GE65;TOTAL_HDI_L
5;;2023;T;TOTAL;YE
5;;2023;T;Y15-64;SO
5;;2023;T;Y15-64;TZ
5;;2023;T;Y15-64;YE
5;;2024;M;TOTAL;TZ
5;;2024;M;TOTAL;YE
5;;2024;M;TOTAL;SO
5;;2024;M;TOTAL;SD
5;;2024;M;Y15-64;YE
5;;2024;M;Y15-64;SO
5;;2024;T;Y_GE65;AF
5;;2024;T;Y15-64;SD
5;;2024;T;Y15-64;TZ
6;;2024;T;Y15-64;GM
6;;2024;T;Y15-64;ER
6;;2024;T;TOTAL;GM
6;;2024;T;TOTAL;ER
6;;2024;T;TOTAL;SD
6;;2024;T;TOTAL;TZ
6;;2024;M;Y0-14;PK
6;;2024;M;Y_GE65;TOTAL_HDI_L
6;;2024;M;Y15-64;GM
6;;2024;M;TOTAL;GM
6;;2024;F;Y15-64;CD
6;;2024;F;TOTAL;CD
6;;2023;T;Y15-64;CD
6;;2023;T;Y15-64;CI
6;;2023;T;TOTAL;TZ
6;;2023;T;TOTAL;CI
6;;2023;M;Y15-64;CI
6;;2023;M;Y0-14;PK
6;;2023;M;TOTAL;CI
6;;2022;T;TOTAL;CI
6;;2022;M;Y0-14;PK
6;;2022;M;Y15-64;GN
6;;2022;M;TOTAL;CI
6;;2022;M;TOTAL;GN
6;;2021;T;TOTAL;SN
6;;2021;T;Y15-64;SN
7;;2021;M;Y15-64;GN
7;;2021;M;TOTAL;GN
7;;2021;M;Y0-14;PK
7;;2021;F;Y0-14;AF
7;;2022;T;TOTAL;GN
7;;2022;T;Y15-64;GN
7;;2023;T;TOTAL;CD
7;;2023;T;TOTAL;ER
7;;2023;T;Y0-14;PK
7;;2023;T;Y15-64;ER
7;;2024;M;TOTAL;GN
7;;2024;M;Y15-64;GN
7;;2024;T;TOTAL;YE
7;;2024;T;Y15-64;SO
7;;2024;T;TOTAL;SO
7;;2024;T;Y15-64;YE
8;;2024;T;Y_GE65;TOTAL_HDI_L
8;;2024;T;Y15-64;CI
8;;2024;T;Y15-64;GN
8;;2024;T;TOTAL;GN
8;;2024;T;TOTAL;CI
8;;2024;M;Y15-64;CI
8;;2024;M;TOTAL;CI
8;;2022;T;Y0-14;PK
8;;2022;M;TOTAL;ER
8;;2022;F;Y0-14;AF
